"LGA","Rank","Cause_of_death","Deaths","Per_cent_of_all_causes","Crude_rate","Age-standardised_rate_(per_100,000)","Rate_ratio_(relative_to_all_of_Australia)"
"Ararat",13,"Kidney Failure",14.136155,2.3535677,23.943459,NA,NA
"Ararat",14,"Influenza / Pneumonia",11.156012,1.8573954,18.895769,NA,NA
"Ararat",15,"Cardiac Arrhythmias",11.120692,1.8515149,18.835945,NA,NA
"Ararat",16,"Oesophageal cancer (C15)",9.1035548,1.5156761,15.419369,NA,NA
"Ararat",17,"Suicide",8.161656,1.3588568,13.824005,NA,NA
"Ararat",18,"Other diseases of intestines excl. paralytic ileus and intestinal obstruction without hernia (K55, K57–K64)",8.1177676,1.3515497,13.749668,NA,NA
"Ararat",19,"Parkinson disease (G20)",8.089342,1.346817,13.701521,NA,NA
"Ararat",20,"Cardiomyopathy (I42)",8.0510976,1.3404496,13.636744,NA,NA
"Ararat",NA,"Top 20 leading causes",407.69516,67.878299,NA,NA,NA
"Ararat",NA,"All causes",600.62666,100,1017.3261,585.67941,1.1401974
"Ballarat",1,"Coronary Heart Disease",487.99538,11.206738,89.162998,61.629103,1.1367719
"Ballarat",2,"Dementia / Alzheimer's",312.92598,7.1862963,57.17558,36.541337,0.8593537
"Ballarat",3,"Stroke / Cerebrovascular Disease",290.19337,6.6642454,53.02204,35.851095,1.2065881
"Ballarat",4,"Chronic Obstructive Pulmonary Disease",230.10272,5.2842731,42.04271,29.632732,1.3387692
"Ballarat",5,"Lung Cancer",215.56859,4.950499,39.387139,29.377393,1.0714519
"Ballarat",6,"Colorectal Cancer",140.47005,3.2258727,25.665675,19.418483,1.1463492
"Ballarat",7,"Prostate Cancer",121.38007,2.7874743,22.177691,15.325725,1.44104
"Ballarat",8,"Accidental Falls",116.81683,2.6826803,21.34393,13.718003,1.4159349
"Ballarat",9,"Diabetes",105.13617,2.4144357,19.209723,14.149162,0.9052976
"Ballarat",10,"Breast Cancer",96.735681,2.2215198,17.674846,13.398511,1.3111789
"Ballarat",11,"Heart Failure / Ill-defined Heart Disease",92.626102,2.127144,16.923974,10.572401,1.0568686
"Ballarat",12,"Influenza / Pneumonia",82.39787,1.8922542,15.055145,9.483301,1.0458429
"Ballarat",13,"Suicide",76.739998,1.7623221,14.021379,14.600978,1.1577746
"Ballarat",14,"Cardiac Arrhythmias",66.076353,1.5174331,12.072995,7.8462942,1.104645
"Ballarat",15,"Liver disease (K70–K76)",63.584862,1.4602164,11.617768,10.193605,1.4107215
"Ballarat",16,"Kidney Failure",62.047224,1.4249048,11.336821,7.4807398,1.0392265
"Ballarat",17,"Leukaemia (C91–C95)",60.061412,1.3793009,10.973988,7.9156524,1.2773868
"Ballarat",18,"Unknown / Ill-defined Cancer",59.732201,1.3717407,10.913837,7.8623203,0.8319266
"Ballarat",19,"Other Ill-defined Causes",59.055165,1.3561926,10.790134,8.5748409,1.1561062
"Ballarat",20,"Pancreatic Cancer",58.657791,1.347067,10.717529,8.0425052,0.7885428
"Ballarat",NA,"Top 20 leading causes",2798.3038,64.26261,NA,NA,NA
"Ballarat",NA,"All causes",4354.482,100,795.61956,573.98303,1.117427
"Banyule",1,"Coronary Heart Disease",502.99997,11.230185,77.848835,50.623874,0.9337764
"Banyule",2,"Dementia / Alzheimer's",411.99996,9.1984818,63.76485,37.871142,0.8906272
"Banyule",3,"Stroke / Cerebrovascular Disease",215.99999,4.8225051,33.430116,20.978975,0.7060588
"Banyule",4,"Lung Cancer",203.99998,4.554588,31.572886,22.739494,0.8293545
"Banyule",5,"Chronic Obstructive Pulmonary Disease",170.99999,3.8178166,26.465509,17.64445,0.7971539
"Banyule",6,"Colorectal Cancer",169.99999,3.7954901,26.310739,18.658284,1.1014717
"Banyule",7,"Accidental Falls",139.99999,3.1256977,21.667667,13.58002,1.4016928
"Banyule",8,"Heart Failure / Ill-defined Heart Disease",125.99999,2.8131279,19.500901,11.843183,1.1839021
"Banyule",9,"Diabetes",121.99999,2.7238222,18.881824,12.618937,0.8073901
"Banyule",10,"Kidney Failure",98.999995,2.2103149,15.322137,9.5285663,1.3237112
"Banyule",11,"Prostate Cancer",94.999991,2.1210091,14.70306,9.7065104,0.9126791
"Banyule",12,"Influenza / Pneumonia",93.999995,2.0986828,14.548291,8.9285212,0.9846603
"Banyule",13,"Cardiac Arrhythmias",93.999995,2.0986828,14.548291,8.6264554,1.2144804
"Banyule",14,"Pancreatic Cancer",91.999993,2.0540299,14.238753,9.8903439,0.9697177
"Banyule",15,"Unknown / Ill-defined Cancer",83.999994,1.8754186,13.000601,8.6190452,0.911997
"Banyule",16,"Breast Cancer",75.999996,1.6968074,11.762448,9.1011243,0.8906365
"Banyule",17,"Leukaemia (C91–C95)",55.999995,1.2502791,8.6670669,6.0370986,0.9742355
"Banyule",18,"Liver Cancer",52.999994,1.1832998,8.2027596,6.0332661,0.8761516
"Banyule",19,"Diseases of the musculoskeletal system and connective tissue (M00–M99)",52.999993,1.1832998,8.2027594,5.4509982,1.2432727
"Banyule",20,"Stomach cancer (C16)",51.999996,1.1609734,8.0479908,5.8461425,1.538735
"Banyule",NA,"Top 20 leading causes",2911.9998,65.014512,NA,NA,NA
"Banyule",NA,"All causes",4478.9996,100,693.21059,465.77108,0.9067605
"Bass Coast",1,"Coronary Heart Disease",216.4436,11.417388,115.35783,56.737887,1.0465516
"Bass Coast",2,"Dementia / Alzheimer's",142.4576,7.5146307,75.925553,35.963641,0.8457679
"Bass Coast",3,"Lung Cancer",121.21837,6.3942622,64.605689,32.077964,1.169947
"Bass Coast",4,"Stroke / Cerebrovascular Disease",103.4806,5.4585958,55.151998,26.466389,0.8907407
"Bass Coast",5,"Chronic Obstructive Pulmonary Disease",81.36441,4.2919682,43.364746,21.329876,0.9636567
"Bass Coast",6,"Colorectal Cancer",65.16071,3.4372239,34.728669,17.067305,1.00755
"Bass Coast",7,"Heart Failure / Ill-defined Heart Disease",63.238957,3.3358515,33.704433,17.304371,1.729829
"Bass Coast",8,"Accidental Falls",59.179523,3.1217166,31.540879,14.762237,1.523718
"Bass Coast",9,"Diabetes",53.345284,2.8139608,28.431407,14.14553,0.9050652
"Bass Coast",10,"Pancreatic Cancer",42.145764,2.2231867,22.462405,11.868707,1.16369
"Bass Coast",11,"Prostate Cancer",41.133222,2.1697752,21.922752,10.292405,0.9677693
"Bass Coast",12,"Breast Cancer",38.161894,2.0130378,20.339125,11.742244,1.1490966
"Bass Coast",13,"Unknown / Ill-defined Cancer",38.143674,2.0120767,20.329414,9.6317903,1.0191574
"Bass Coast",14,"Cardiac Arrhythmias",33.207289,1.7516827,17.698471,8.199844,1.1544197
"Bass Coast",15,"Hypertensive Disease",30.089012,1.5871937,16.036525,8.047239,1.2184246
"Bass Coast",16,"Kidney Failure",30.033759,1.5842791,16.007076,8.1335836,1.1299198
"Bass Coast",17,"Influenza / Pneumonia",28.174436,1.4862,15.016114,8.284882,0.9136781
"Bass Coast",18,"Leukaemia (C91–C95)",27.986866,1.4763056,14.916145,7.1731616,1.1575675
"Bass Coast",19,"Suicide",26.089012,1.376194,13.904647,14.447146,1.1455766
"Bass Coast",20,"Liver Cancer",22.093193,1.1654147,11.774997,5.8189006,0.8450214
"Bass Coast",NA,"Top 20 leading causes",1263.1472,66.630944,NA,NA,NA
"Bass Coast",NA,"All causes",1895.7366,100,1010.3697,528.38018,1.0286476
"Baw Baw",1,"Coronary Heart Disease",208.5491,10.189748,77.090415,51.172456,0.9438951
"Baw Baw",2,"Dementia / Alzheimer's",127.75213,6.2419925,47.22372,29.982047,0.7050969
"Baw Baw",3,"Lung Cancer",115.64751,5.6505585,42.749233,28.600166,1.0431048
"Baw Baw",4,"Stroke / Cerebrovascular Disease",109.91551,5.3704923,40.630396,26.461255,0.8905679
"Baw Baw",5,"Chronic Obstructive Pulmonary Disease",83.99959,4.1042355,31.050545,20.155237,0.910588
"Baw Baw",6,"Diabetes",65.899469,3.2198602,24.359814,15.605406,0.9984716
"Baw Baw",7,"Colorectal Cancer",59.686864,2.9163112,22.063318,15.385431,0.9082623
"Baw Baw",8,"Heart Failure / Ill-defined Heart Disease",58.101134,2.8388321,21.477151,14.184435,1.4179451
"Baw Baw",9,"Accidental Falls",56.067827,2.7394844,20.725537,13.16942,1.3593117
"Baw Baw",10,"Hypertensive Disease",54.974751,2.6860765,20.32148,12.730108,1.9274532
"Baw Baw",11,"Prostate Cancer",49.915263,2.438869,18.451234,11.734928,1.1034062
"Baw Baw",12,"Influenza / Pneumonia",46.851726,2.289184,17.318794,10.970198,1.2098217
"Baw Baw",13,"Pancreatic Cancer",44.811711,2.1895085,16.5647,11.204107,1.0985281
"Baw Baw",14,"Breast Cancer",42.964003,2.0992291,15.881693,11.829282,1.1576141
"Baw Baw",15,"Other Ill-defined Causes",36.013235,1.7596133,13.312333,8.5155271,1.1481092
"Baw Baw",16,"Suicide",34.954489,1.7078828,12.920967,13.589789,1.077593
"Baw Baw",17,"Oesophageal cancer (C15)",34.84155,1.7023645,12.879219,8.8378085,2.0530046
"Baw Baw",18,"Kidney Failure",32.93757,1.6093358,12.175411,7.9337454,1.1021582
"Baw Baw",19,"Land transport accidents (V01–V89)",32.748352,1.6000905,12.105466,11.654265,2.3323172
"Baw Baw",20,"Unknown / Ill-defined Cancer",31.087516,1.5189417,11.491536,7.6612925,0.8106554
"Baw Baw",NA,"Top 20 leading causes",1327.7193,64.87261,NA,NA,NA
"Baw Baw",NA,"All causes",2046.6562,100,756.54881,515.9683,1.0044842
"Bayside (Vic.)",1,"Coronary Heart Disease",401,10.12882,77.054186,38.10638,0.7028865
"Bayside (Vic.)",2,"Stroke / Cerebrovascular Disease",372,9.3963122,71.481689,34.66575,1.1666947
"Bayside (Vic.)",3,"Dementia / Alzheimer's",371,9.3710533,71.289534,33.242982,0.7817853
"Bayside (Vic.)",4,"Accidental Falls",158,3.9909068,30.360502,14.775703,1.5251079
"Bayside (Vic.)",5,"Lung Cancer",147,3.7130589,28.246796,17.250063,0.629144
"Bayside (Vic.)",6,"Heart Failure / Ill-defined Heart Disease",137,3.4604698,26.325246,12.40956,1.2405199
"Bayside (Vic.)",7,"Colorectal Cancer",118,2.9805506,22.674299,13.6074,0.8032982
"Bayside (Vic.)",8,"Diabetes",109,2.7532205,20.944903,10.901991,0.6975358
"Bayside (Vic.)",9,"Chronic Obstructive Pulmonary Disease",103,2.6016671,19.791973,10.363651,0.4682166
"Bayside (Vic.)",10,"Cardiac Arrhythmias",90,2.2733013,17.293957,7.6385859,1.0754027
"Bayside (Vic.)",11,"Influenza / Pneumonia",88,2.2227835,16.909647,7.844539,0.865116
"Bayside (Vic.)",12,"Prostate Cancer",79,1.9954534,15.180251,8.5534648,0.8042611
"Bayside (Vic.)",13,"Pancreatic Cancer",71,1.7933822,13.64301,8.2800177,0.8118302
"Bayside (Vic.)",14,"Breast Cancer",71,1.7933822,13.64301,9.0177375,0.8824762
"Bayside (Vic.)",15,"Kidney Failure",71,1.7933822,13.64301,7.2750443,1.0106513
"Bayside (Vic.)",16,"Unknown / Ill-defined Cancer",60,1.5155342,11.529305,6.3508833,0.6719986
"Bayside (Vic.)",17,"Suicide",56,1.4144986,10.760684,10.742592,0.8518265
"Bayside (Vic.)",18,"Non-rheumatic valve disorders (I34–I38)",51,1.2882041,9.7999089,4.6173772,0.9272686
"Bayside (Vic.)",19,"Other Ill-defined Causes",46,1.1619096,8.8391335,5.2674012,0.7101794
"Bayside (Vic.)",20,"Parkinson disease (G20)",45,1.1366507,8.6469785,4.5872534,0.7385062
"Bayside (Vic.)",NA,"Top 20 leading causes",2644,66.784542,NA,NA,NA
"Bayside (Vic.)",NA,"All causes",3959,100,760.74195,416.20663,0.8102687
"Benalla",1,"Coronary Heart Disease",78.7116,9.3717094,110.56005,48.129717,0.8877707
"Benalla",2,"Stroke / Cerebrovascular Disease",55.961579,6.6630033,78.604866,32.898809,1.1072273
"Benalla",3,"Dementia / Alzheimer's",54.961598,6.5439417,77.200272,31.942069,0.7511913
"Benalla",4,"Chronic Obstructive Pulmonary Disease",39.923118,4.7534018,56.076891,24.742081,1.1178158
"Benalla",5,"Lung Cancer",29.884652,3.5581829,41.97664,20.065682,0.7318353
"Benalla",6,"Diabetes",28.961553,3.4482752,40.680036,20.014292,1.2805628
"Benalla",7,"Colorectal Cancer",28.94233,3.4459864,40.653035,20.188241,1.191791
"Benalla",8,"Accidental Falls",27.980802,3.3315031,39.302451,16.004391,1.6519297
"Benalla",9,"Prostate Cancer",24.942319,2.9697295,35.034531,14.784483,1.3901483
"Benalla",10,"Pancreatic Cancer",22.90385,2.7270215,32.171252,16.111844,1.5797166
"Benalla",11,"Heart Failure / Ill-defined Heart Disease",20.980793,2.4980549,29.470085,12.024902,1.2020677
"Benalla",12,"Breast Cancer",19.92309,2.3721206,27.984411,NA,NA
"Benalla",13,"Influenza / Pneumonia",18.980785,2.2599261,26.660829,NA,NA
"Benalla",14,"Unknown / Ill-defined Cancer",18.961545,2.2576353,26.633804,NA,NA
"Benalla",15,"Diseases of the musculoskeletal system and connective tissue (M00–M99)",16.980766,2.021796,23.851557,NA,NA
"Benalla",16,"Kidney Failure",12.980771,1.5455411,18.233077,NA,NA
"Benalla",17,"Oesophageal cancer (C15)",12.942302,1.5409608,18.179043,NA,NA
"Benalla",18,"Leukaemia (C91–C95)",12.923076,1.5386717,18.152037,NA,NA
"Benalla",19,"Cardiac Arrhythmias",12.000017,1.4287687,16.855488,NA,NA
"Benalla",20,"Suicide",11.942322,1.4218993,16.774448,NA,NA
"Benalla",NA,"Top 20 leading causes",551.78887,65.69813,NA,NA,NA
"Benalla",NA,"All causes",839.8852,100,1179.7213,580.62517,1.1303578
"Boroondara",1,"Dementia / Alzheimer's",680.00012,12.69841,76.83128,42.518893,0.9999297
"Boroondara",2,"Coronary Heart Disease",520.00017,9.7105504,58.753341,35.674958,0.658038
"Boroondara",3,"Stroke / Cerebrovascular Disease",380.00012,7.0961713,42.935133,26.110501,0.8787631
"Boroondara",4,"Heart Failure / Ill-defined Heart Disease",186.00006,3.4733891,21.015617,11.513342,1.1509296
"Boroondara",5,"Accidental Falls",176.00006,3.2866479,19.885747,12.029051,1.241606
"Boroondara",6,"Lung Cancer",174.00012,3.2493007,19.659779,14.085349,0.5137206
"Boroondara",7,"Influenza / Pneumonia",171.00005,3.193277,19.320809,10.884333,1.2003523
"Boroondara",8,"Colorectal Cancer",152.00008,2.8384692,17.174057,11.792999,0.696187
"Boroondara",9,"Chronic Obstructive Pulmonary Disease",119.00004,2.2222221,13.445476,8.3400562,0.3767931
"Boroondara",10,"Prostate Cancer",114.00005,2.1288516,12.880541,8.5465753,0.8036133
"Boroondara",11,"Diabetes",110.00006,2.0541554,12.428594,8.00082,0.5119118
"Boroondara",12,"Breast Cancer",106.00006,1.9794589,11.976646,9.1210974,0.892591
"Boroondara",13,"Other Ill-defined Causes",102.00003,1.9047618,11.524693,7.3553246,0.9916845
"Boroondara",14,"Cardiac Arrhythmias",100.00004,1.8674137,11.29872,6.2281213,0.8768296
"Boroondara",15,"Kidney Failure",100.00004,1.8674136,11.29872,6.2466686,0.867789
"Boroondara",16,"Pancreatic Cancer",99.000046,1.8487396,11.185734,7.9091157,0.7754644
"Boroondara",17,"Parkinson disease (G20)",83.000031,1.5499533,9.3779374,6.3896927,1.0286826
"Boroondara",18,"Suicide",82.000036,1.5312793,9.2649508,9.1295366,0.7239204
"Boroondara",19,"Non-rheumatic valve disorders (I34–I38)",79.000027,1.4752567,8.9259884,4.8473912,0.9734603
"Boroondara",20,"Leukaemia (C91–C95)",68.000024,1.2698412,7.6831294,5.3867778,0.8692901
"Boroondara",NA,"Top 20 leading causes",3601.0013,67.245563,NA,NA,NA
"Boroondara",NA,"All causes",5355.002,100,605.04645,388.46745,0.7562663
"Brimbank",1,"Coronary Heart Disease",660.98572,11.283758,64.789968,57.684551,1.0640132
"Brimbank",2,"Dementia / Alzheimer's",374.99524,6.4015842,36.757117,32.472342,0.7636619
"Brimbank",3,"Lung Cancer",366.98929,6.2649137,35.972372,32.208056,1.1746918
"Brimbank",4,"Stroke / Cerebrovascular Disease",300.99167,5.1382612,29.503271,26.460146,0.8905306
"Brimbank",5,"Diabetes",233.99703,3.9945884,22.936441,20.522293,1.3130659
"Brimbank",6,"Chronic Obstructive Pulmonary Disease",202.99227,3.4653028,19.897347,17.677711,0.7986566
"Brimbank",7,"Accidental Falls",174.99584,2.9873728,17.153131,15.266434,1.5757598
"Brimbank",8,"Colorectal Cancer",169.99167,2.9019461,16.662622,14.8655,0.8775688
"Brimbank",9,"Septicaemia (A40–A41)",153.99703,2.6288998,15.094823,13.459328,3.137627
"Brimbank",10,"Kidney Failure",152.99643,2.6118185,14.996744,13.358967,1.8558315
"Brimbank",11,"Heart Failure / Ill-defined Heart Disease",136.99703,2.338691,13.428479,11.712018,1.1707903
"Brimbank",12,"Coronavirus disease 2019 (COVID-19) (U07.1, U07.2, U08.9, U09.9)",134.99762,2.3045589,13.232497,11.728557,9.4391001
"Brimbank",13,"Pancreatic Cancer",126.99584,2.1679596,12.44816,11.091503,1.0874876
"Brimbank",14,"Influenza / Pneumonia",119.99346,2.0484212,11.761785,10.531299,1.1614188
"Brimbank",15,"Breast Cancer",114.99524,1.9630961,11.271859,10.276358,1.0056449
"Brimbank",16,"Other Ill-defined Causes",96.999405,1.6558873,9.5079034,8.6859093,1.1710811
"Brimbank",17,"Unknown / Ill-defined Cancer",88.99881,1.5193083,8.7236833,7.873831,0.8331445
"Brimbank",18,"Suicide",84.99762,1.4510035,8.3314857,8.1530617,0.6464915
"Brimbank",19,"Liver Cancer",82.998215,1.4168715,8.1355036,7.1605176,1.0398512
"Brimbank",20,"Prostate Cancer",79.99524,1.3656074,7.8411513,7.0401476,0.6619676
"Brimbank",NA,"Top 20 leading causes",3860.9006,65.909851,NA,NA,NA
"Brimbank",NA,"All causes",5857.8507,100,574.18783,516.82208,1.0061464
"Buloke",1,"Dementia / Alzheimer's",50.999837,12.408759,165.15009,55.327004,1.301142
"Buloke",2,"Coronary Heart Disease",43.999859,10.705596,142.48243,58.999156,1.0882616
"Buloke",3,"Lung Cancer",24.99992,6.0827251,80.955928,38.287635,1.396426
"Buloke",4,"Heart Failure / Ill-defined Heart Disease",23.999923,5.8394161,77.71769,24.968923,2.4960149
"Buloke",5,"Chronic Obstructive Pulmonary Disease",23.999923,5.8394161,77.71769,32.432689,1.4652677
"Buloke",6,"Stroke / Cerebrovascular Disease",21.99993,5.3527981,71.241216,25.357554,0.8534223
"Buloke",7,"Colorectal Cancer",14.999952,3.649635,48.573557,NA,NA
"Buloke",8,"Diabetes",14.999952,3.649635,48.573557,NA,NA
"Buloke",9,"Unknown / Ill-defined Cancer",9.999968,2.43309,32.382371,NA,NA
"Buloke",10,"Other Ill-defined Causes",9.999968,2.43309,32.382371,NA,NA
"Buloke",11,"Prostate Cancer",8.9999712,2.189781,29.144134,NA,NA
"Buloke",12,"Cardiac Arrhythmias",8.9999712,2.189781,29.144134,NA,NA
"Buloke",13,"Hypertensive Disease",7.9999744,1.946472,25.905897,NA,NA
"Buloke",14,"Kidney Failure",7.9999744,1.946472,25.905897,NA,NA
"Buloke",15,"Pancreatic Cancer",6.9999776,1.703163,22.66766,NA,NA
"Buloke",16,"Influenza / Pneumonia",6.9999776,1.703163,22.66766,NA,NA
"Buloke",17,"Land transport accidents (V01–V89)",6.9999776,1.703163,22.66766,NA,NA
"Buloke",18,"Accidental Falls",5.9999808,1.459854,19.429423,NA,NA
"Buloke",19,"Parkinson disease (G20)",4.999984,1.216545,16.191186,NA,NA
"Buloke",20,"Non-rheumatic valve disorders (I34–I38)",4.999984,1.216545,16.191186,NA,NA
"Buloke",NA,"Top 20 leading causes",310.999,75.6691,NA,NA,NA
"Buloke",NA,"All causes",410.99868,100,1330.9154,588.08706,1.1448846
"Campaspe",1,"Coronary Heart Disease",191.19127,9.5611339,100.2968,52.557044,0.9694344
"Campaspe",2,"Dementia / Alzheimer's",170.0352,8.5031566,89.19856,42.94507,1.0099523
"Campaspe",3,"Lung Cancer",121.53179,6.0775876,63.754215,35.738874,1.3034677
"Campaspe",4,"Chronic Obstructive Pulmonary Disease",114.53179,5.7275301,60.082093,32.791182,1.481464
"Campaspe",5,"Stroke / Cerebrovascular Disease",103.57435,5.1795684,54.333945,27.109107,0.9123718
"Campaspe",6,"Heart Failure / Ill-defined Heart Disease",94.574351,4.7294944,49.612646,25.186383,2.5177532
"Campaspe",7,"Colorectal Cancer",78.687857,3.9350393,41.278769,23.486315,1.3864892
"Campaspe",8,"Diabetes",59.702046,2.9855927,31.319025,17.545239,1.1225868
"Campaspe",9,"Accidental Falls",57.744611,2.8877049,30.292176,15.752609,1.6259414
"Campaspe",10,"Prostate Cancer",41.82974,2.0918306,21.943414,11.288197,1.0614012
"Campaspe",11,"Pancreatic Cancer",38.843929,1.9425155,20.37709,11.926709,1.169377
"Campaspe",12,"Breast Cancer",38.787176,1.9396774,20.347318,11.207266,1.0967436
"Campaspe",13,"Cardiac Arrhythmias",35.858117,1.7932004,18.810767,8.6422556,1.2167049
"Campaspe",14,"Unknown / Ill-defined Cancer",33.815552,1.6910554,17.73926,9.978775,1.0558725
"Campaspe",15,"Kidney Failure",33.801364,1.6903459,17.731817,8.7152965,1.2107315
"Campaspe",16,"Parkinson disease (G20)",31.91487,1.5960057,16.742184,8.3244014,1.3401532
"Campaspe",17,"Lymphomas (C81–C86, C96)",31.900682,1.5952961,16.734741,10.157075,1.8534163
"Campaspe",18,"Influenza / Pneumonia",30.858117,1.5431593,16.187823,8.0721445,0.8902169
"Campaspe",19,"Liver Cancer",23.943247,1.197359,12.560359,6.9135353,1.0039844
"Campaspe",20,"Septicaemia (A40–A41)",21.929059,1.0966331,11.503739,5.7469977,1.3397352
"Campaspe",NA,"Top 20 leading causes",1355.0551,67.763886,NA,NA,NA
"Campaspe",NA,"All causes",1999.6715,100,1049.0053,580.06857,1.1292743
"Cardinia",1,"Coronary Heart Disease",261.3651,10.826298,46.944564,52.899526,0.9757516
"Cardinia",2,"Dementia / Alzheimer's",191.15268,7.9179507,34.333503,40.085167,0.9426951
"Cardinia",3,"Lung Cancer",134.89445,5.587615,24.228794,26.383149,0.9622458
"Cardinia",4,"Chronic Obstructive Pulmonary Disease",115.59407,4.7881524,20.762196,23.847714,1.0774094
"Cardinia",5,"Stroke / Cerebrovascular Disease",112.91216,4.6770621,20.280491,23.449476,0.7892049
"Cardinia",6,"Colorectal Cancer",84.894323,3.5165035,15.248122,16.729681,0.9876187
"Cardinia",7,"Accidental Falls",73.858858,3.059391,13.26601,15.234844,1.5724991
"Cardinia",8,"Suicide",64.929538,2.6895196,11.662188,12.050447,0.955532
"Cardinia",9,"Diabetes",64.805833,2.6843955,11.639969,13.125652,0.8398109
"Cardinia",10,"Heart Failure / Ill-defined Heart Disease",59.964941,2.4838754,10.770482,12.421992,1.2417627
"Cardinia",11,"Breast Cancer",56.911915,2.3574126,10.222119,11.120605,1.0882629
"Cardinia",12,"Kidney Failure",51.894167,2.1495668,9.3208661,10.80585,1.5011518
"Cardinia",13,"Influenza / Pneumonia",49.823518,2.0637961,8.9489507,10.297826,1.1356708
"Cardinia",14,"Pancreatic Cancer",48.929538,2.0267656,8.7883803,9.7760631,0.9585128
"Cardinia",15,"Prostate Cancer",48.911853,2.026033,8.7852037,10.021223,0.9422707
"Cardinia",16,"Unknown / Ill-defined Cancer",45.964878,1.903963,8.2558888,9.1575514,0.9689773
"Cardinia",17,"Cardiac Arrhythmias",39.858796,1.6510361,7.1591572,8.2605013,1.1629594
"Cardinia",18,"Liver Cancer",34.94713,1.4475845,6.2769583,6.6013616,0.9586505
"Cardinia",19,"Leukaemia (C91–C95)",33.000062,1.3669328,5.9272396,7.0126535,1.1316655
"Cardinia",20,"Pulmonary oedema and other interstitial pulmonary diseases (J80–J84)",31.982408,1.3247794,5.7444557,6.6544373,1.4410477
"Cardinia",NA,"Top 20 leading causes",1606.5962,66.548633,NA,NA,NA
"Cardinia",NA,"All causes",2414.1686,100,433.61602,484.75709,0.9437224
"Casey",1,"Coronary Heart Disease",699.00001,9.732665,40.0117,50.156142,0.9251489
"Casey",2,"Dementia / Alzheimer's",671,9.3428014,38.408943,50.537418,1.1885038
"Casey",3,"Lung Cancer",429,5.9732665,24.556537,29.906779,1.0907596
"Casey",4,"Stroke / Cerebrovascular Disease",359,4.9986076,20.549643,26.060976,0.8770963
"Casey",5,"Chronic Obstructive Pulmonary Disease",290,4.0378725,16.59999,21.329311,0.9636312
"Casey",6,"Colorectal Cancer",251,3.4948482,14.367578,17.369898,1.0254132
"Casey",7,"Diabetes",235,3.2720691,13.451716,16.938998,1.083798
"Casey",8,"Accidental Falls",192,2.67335,10.990338,14.429298,1.4893529
"Casey",9,"Heart Failure / Ill-defined Heart Disease",182,2.5341131,10.417925,13.167308,1.3162681
"Casey",10,"Breast Cancer",162,2.2556391,9.2730979,10.622051,1.0394744
"Casey",11,"Suicide",161,2.2417154,9.2158566,9.3651081,0.7425999
"Casey",12,"Pancreatic Cancer",149,2.074631,8.5289605,10.249771,1.0049584
"Casey",13,"Kidney Failure",136,1.8936229,7.7848229,10.136691,1.408192
"Casey",14,"Unknown / Ill-defined Cancer",127,1.7683097,7.2696509,9.147027,0.9678637
"Casey",15,"Influenza / Pneumonia",127,1.7683097,7.2696508,9.194399,1.013982
"Casey",16,"Prostate Cancer",123,1.7126149,7.0406855,9.1216397,0.8576852
"Casey",17,"Other Ill-defined Causes",119,1.6569201,6.8117201,7.9601917,1.0732359
"Casey",18,"Liver disease (K70–K76)",117,1.6290727,6.6972374,7.7034254,1.0660985
"Casey",19,"Liver Cancer",87,1.2113617,4.979997,5.8763668,0.8533667
"Casey",20,"Parkinson disease (G20)",86.000001,1.197438,4.9227557,6.6018138,1.0628322
"Casey",NA,"Top 20 leading causes",4702,65.469229,NA,NA,NA
"Casey",NA,"All causes",7182,100,411.10734,507.10997,0.9872389
"Central Goldfields",1,"Coronary Heart Disease",106.74436,11.650402,160.59679,73.381929,1.3535572
"Central Goldfields",2,"Dementia / Alzheimer's",78.281294,8.5438568,117.77413,47.811642,1.1244009
"Central Goldfields",3,"Chronic Obstructive Pulmonary Disease",56.149091,6.1282813,84.47625,38.431753,1.7362978
"Central Goldfields",4,"Stroke / Cerebrovascular Disease",52.406634,5.7198182,78.845727,33.596481,1.1307079
"Central Goldfields",5,"Lung Cancer",46.567544,5.0825224,70.060823,33.261693,1.21312
"Central Goldfields",6,"Colorectal Cancer",33.349494,3.6398645,50.17428,29.970002,1.7692468
"Central Goldfields",7,"Diabetes",30.756183,3.3568227,46.272646,24.554573,1.5710609
"Central Goldfields",8,"Kidney Failure",26.71669,2.9159403,40.195234,16.163443,2.2454302
"Central Goldfields",9,"Heart Failure / Ill-defined Heart Disease",22.755202,2.4835715,34.235179,15.933798,1.5928199
"Central Goldfields",10,"Prostate Cancer",22.719632,2.4796892,34.181663,14.373798,1.3515326
"Central Goldfields",11,"Influenza / Pneumonia",20.84007,2.2745481,31.353864,12.779258,1.4093296
"Central Goldfields",12,"Accidental Falls",20.763046,2.2661415,31.237981,12.7724,1.3183324
"Central Goldfields",13,"Breast Cancer",15.798616,1.7243087,23.769002,NA,NA
"Central Goldfields",14,"Pancreatic Cancer",13.717671,1.497188,20.638222,NA,NA
"Central Goldfields",15,"Unknown / Ill-defined Cancer",13.675237,1.4925567,20.57438,NA,NA
"Central Goldfields",16,"Lymphomas (C81–C86, C96)",11.880542,1.2966783,17.874264,NA,NA
"Central Goldfields",17,"Non-rheumatic valve disorders (I34–I38)",11.877601,1.2963573,17.869839,NA,NA
"Central Goldfields",18,"Cardiomyopathy (I42)",11.877601,1.2963573,17.869839,NA,NA
